,Municipality
0,Buritizal
1,Mariápolis
2,Marília
3,Cabrália Paulista
4,Cabreúva
5,Caçapava
6,Cachoeira Paulista
7,Caconde
8,Cafelândia
9,Caiabu
10,Caieiras
11,Caiuá
12,Cajamar
13,Cajati
14,Cajobi
15,Cajuru
16,Campina do Monte Alegre
17,Campinas
18,Campo Limpo Paulista
19,Campos do Jordão
20,Campos Novos Paulista
21,Cananéia
22,Canas
23,Cândido Mota
24,Cândido Rodrigues
25,Canitar
26,Capão Bonito
27,Capela do Alto
28,Capivari
29,Caraguatatuba
30,Carapicuíba
31,Cotia
32,Cristais Paulista
33,Cruzália
34,Cruzeiro
35,Embu
36,Cardoso
37,Casa Branca
38,Cássia dos Coqueiros
39,Castilho
40,Catanduva
41,Catiguá
42,Cedral
43,Cerqueira César
44,Cerquilho
45,Cesário Lange
46,Charqueada
47,Clementina
48,Colina
49,Colômbia
50,Conchal
51,Conchas
52,Cordeirópolis
53,Coroados
54,Coronel Macedo
55,Corumbataí
56,Cosmópolis
57,Cosmorama
58,Marinópolis
59,Martinópolis
60,Matão
61,Mauá
62,Cravinhos
63,Mendonça
64,Meridiano
65,Mesópolis
66,Miguelópolis
67,Cubatão
68,Cunha
69,Descalvado
70,Diadema
71,Dirce Reis
72,Divinolândia
73,Dobrada
74,Dois Córregos
75,Dolcinópolis
76,Dourado
77,Dracena
78,Duartina
79,Dumont
80,Echaporã
81,Eldorado
82,Elias Fausto
83,Elisiário
84,Embaúba
85,Estrela d'Oeste
86,Estrela do Norte
87,Fartura
88,Fernandópolis
89,Franco da Rocha
90,Guaíra
91,Guarulhos
92,Embu-Guaçu
93,Mineiros do Tietê
94,Miracatu
95,Mira Estrela
96,Mirandópolis
97,Emilianópolis
98,Engenheiro Coelho
99,Espírito Santo do Pinhal
100,Espírito Santo do Turvo
101,Mirante do Paranapanema
102,Euclides da Cunha Paulista
103,Fernando Prestes
104,Fernão
105,Ferraz de Vasconcelos
106,Flora Rica
107,Floreal
108,Flórida Paulista
109,Florínia
110,Franca
111,Francisco Morato
112,Gabriel Monteiro
113,Gália
114,Garça
115,Gastão Vidigal
116,Gavião Peixoto
117,General Salgado
118,Getulina
119,Glicério
120,Guaiçara
121,Guaimbê
122,Guapiaçu
123,Guapiara
124,Guará
125,Guaraçaí
126,Guaraci
127,Guarani d'Oeste
128,Guarantã
129,Guararapes
130,Guararema
131,Guaratinguetá
132,Guareí
133,Guariba
134,Guarujá
135,Ibitinga
136,Itapecerica da Serra
137,Itapetininga
138,Itapira
139,Itaquaquecetuba
140,Mirassol
141,Mirassolândia
142,Mococa
143,Mogi das Cruzes
144,Guatapará
145,Guzolândia
146,Herculândia
147,Holambra
148,Hortolândia
149,Iacanga
150,Iacri
151,Iaras
152,Ibaté
153,Ibirá
154,Ibirarema
155,Ibiúna
156,Icém
157,Iepê
158,Igaraçu do Tietê
159,Igarapava
160,Igaratá
161,Iguape
162,Ilhabela
163,Ilha Comprida
164,Ilha Solteira
165,Indaiatuba
166,Indiana
167,Indiaporã
168,Inúbia Paulista
169,Ipaussu
170,Iperó
171,Ipeúna
172,Ipiguá
173,Iporanga
174,Ipuã
175,Iracemápolis
176,Irapuã
177,Irapuru
178,Itaberá
179,Itaí
180,Itajobi
181,Itaju
182,Itanhaém
183,Itaóca
184,Itapeva
185,Itapevi
186,Itapirapuã Paulista
187,Itápolis
188,Itaporanga
189,Itapuí
190,Itapura
191,Itararé
192,Itariri
193,Itatiba
194,Itirapina
195,Itirapuã
196,Itobi
197,Jacareí
198,Jandira
199,Itatinga
200,Itu
201,Itupeva
202,Mogi Guaçu
203,Moji Mirim
204,Monte Alto
205,Monte Mor
206,Osasco
207,Ituverava
208,Jaborandi
209,Jaboticabal
210,Jaci
211,Jacupiranga
212,Jaguariúna
213,Jales
214,Jambeiro
215,Jardinópolis
216,Jarinu
217,Jaú
218,Jeriquara
219,Joanópolis
220,João Ramalho
221,José Bonifácio
222,Júlio Mesquita
223,Jumirim
224,Jundiaí
225,Limeira
226,Junqueirópolis
227,Juquiá
228,Juquitiba
229,Lagoinha
230,Laranjal Paulista
231,Lavínia
232,Lavrinhas
233,Leme
234,Lençóis Paulista
235,Lindóia
236,Lins
237,Lorena
238,Lourdes
239,Louveira
240,Lucélia
241,Lucianópolis
242,Luís Antônio
243,Luiziânia
244,Lupércio
245,Lutécia
246,Macatuba
247,Macaubal
248,Macedônia
249,Magda
250,Mairinque
251,Mairiporã
252,Manduri
253,Marabá Paulista
254,Maracaí
255,Marapoama
256,São Paulo
257,Mombuca
258,Monções
259,Mongaguá
260,Monte Alegre do Sul
261,Monte Aprazível
262,Monte Azul Paulista
263,Monte Castelo
264,Monteiro Lobato
265,Morro Agudo
266,Morungaba
267,Motuca
268,Murutinga do Sul
269,Nantes
270,Narandiba
271,Natividade da Serra
272,Nazaré Paulista
273,Neves Paulista
274,Nhandeara
275,Nipoã
276,Nova Aliança
277,Nova Campina
