uf_abbr;municipality;direto;url_pagina;SIG_link
SC;Águas Mornas;1;https://gd.sgb.gov.br/suscetibilidade/aguas_mornas/sig_aguas_mornas_sc_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/aguas_mornas/sig_aguas_mornas_sc_suscet.zip
MG;Além Paraíba;1;https://gd.sgb.gov.br/suscetibilidade/alem_paraiba/sig_alem_paraiba_mg_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/alem_paraiba/sig_alem_paraiba_mg_suscet.zip
SC;Antônio Carlos;1;https://gd.sgb.gov.br/suscetibilidade/antonio_carlos/sig_antonio_carlos_sc_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/antonio_carlos/sig_antonio_carlos_sc_suscet.zip
MG;Barbacena;1;https://gd.sgb.gov.br/suscetibilidade/barbacena/sig_barbacena_mg_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/barbacena/sig_barbacena_mg_suscet.zip
SC;Barra Bonita;1;https://gd.sgb.gov.br/suscetibilidade/barra_bonita/sig_barra_bonita_sc_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/barra_bonita/sig_barra_bonita_sc_suscet.zip
MG;Belo Horizonte;1;https://gd.sgb.gov.br/suscetibilidade/belo_horizonte/sig_belo_horizonte_mg_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/belo_horizonte/sig_belo_horizonte_mg_suscet.zip
MG;Betim;1;https://gd.sgb.gov.br/suscetibilidade/betim/sig_betim_mg_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/betim/sig_betim_mg_suscet.zip
MG;Boa Esperança;1;https://gd.sgb.gov.br/suscetibilidade/boa_esperanca/sig_boa_esperanca_mg_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/boa_esperanca/sig_boa_esperanca_mg_suscet.zip
SC;Braço do Norte;1;https://gd.sgb.gov.br/suscetibilidade/braco_do_norte/sig_braco_do_norte_sc_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/braco_do_norte/sig_braco_do_norte_sc_suscet.zip
RJ;Cachoeiras de Macacu;1;https://gd.sgb.gov.br/suscetibilidade/cachoeiras_de_macacu/sig_cachoeiras_de_macacu_rj_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/cachoeiras_de_macacu/sig_cachoeiras_de_macacu_rj_suscet.zip
SC;Canelinha;1;https://gd.sgb.gov.br/suscetibilidade/canelinha/sig_canelinha_sc_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/canelinha/sig_canelinha_sc_suscet.zip
SC;Canoinhas;1;https://gd.sgb.gov.br/suscetibilidade/canoinhas/sig_canoinhas_sc_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/canoinhas/sig_canoinhas_sc_suscet.zip
RJ;Cantagalo;1;https://gd.sgb.gov.br/suscetibilidade/cantagalo/sig_cantagalo_rj_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/cantagalo/sig_cantagalo_rj_suscet.zip
MG;Caraí;1;https://gd.sgb.gov.br/suscetibilidade/carai/sig_carai_mg_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/carai/sig_carai_mg_suscet.zip
MG;Carangola;1;https://gd.sgb.gov.br/suscetibilidade/carangola/sig_carangola_mg_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/carangola/sig_carangola_mg_suscet.zip
MG;Caratinga;1;https://gd.sgb.gov.br/suscetibilidade/caratinga/sig_caratinga_mg_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/caratinga/sig_caratinga_mg_suscet.zip
RJ;Cardoso Moreira;1;https://gd.sgb.gov.br/suscetibilidade/cardoso_moreira/sig_cardoso_moreira_rj_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/cardoso_moreira/sig_cardoso_moreira_rj_suscet.zip
RJ;Carmo;1;https://gd.sgb.gov.br/suscetibilidade/carmo/sig_carmo_rj_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/carmo/sig_carmo_rj_suscet.zip
MG;Cataguases;1;https://gd.sgb.gov.br/suscetibilidade/cataguases/sig_cataguases_mg_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/cataguases/sig_cataguases_mg_suscet.zip
MG;Chalé;1;https://gd.sgb.gov.br/suscetibilidade/chale/sig_chale_mg_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/chale/sig_chale_mg_suscet.zip
MG;Chapada do Norte;1;https://gd.sgb.gov.br/suscetibilidade/chapada_do_norte/sig_chapada_do_norte_mg_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/chapada_do_norte/sig_chapada_do_norte_mg_suscet.zip
MG;Congonhas;1;https://gd.sgb.gov.br/suscetibilidade/congonhas/sig_congonhas_mg_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/congonhas/sig_congonhas_mg_suscet.zip
MG;Conselheiro Lafaiete;1;https://gd.sgb.gov.br/suscetibilidade/conselheiro_lafaiete/sig_conselheiro_lafaiete_mg_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/conselheiro_lafaiete/sig_conselheiro_lafaiete_mg_suscet.zip
MG;Contagem;1;https://gd.sgb.gov.br/suscetibilidade/contagem/sig_contagem_mg_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/contagem/sig_contagem_mg_suscet.zip
RJ;Cordeiro;1;https://gd.sgb.gov.br/suscetibilidade/cordeiro/sig_cordeiro_rj_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/cordeiro/sig_cordeiro_rj_suscet.zip
